module,num-direct-deps,num-transitive-deps,num-direct-dependents,num-transitive-dependents,max-dependency-depth,avg-dependency-path-length,num-circular-dependencies,leaf?,root?,num-namespaces,num-externally-used-namespaces,num-declared-api-namespaces,num-derived-api-namespaces,num-unexpected-api-namespaces,num-undeclared-api-namespaces,num-declared-friends,num-direct-uses,num-source-files,num-downstream-modules-affected,num-downstream-source-files-affected,num-affected-source-files,num-test-files-affected,percent-of-repo-source-files-affected,percent-of-repo-test-files-affected
segments,12,118,1,4,15,8.8898,0,false,false,2,1,1,1,0,0,0,12,2,4,30,32,25,0.0197,0.0209
warehouse-schema.rest,21,118,1,4,11,5.3814,0,false,false,3,1,1,1,1,0,0,21,3,4,30,33,25,0.0203,0.0209
enterprise/database-replication,6,117,2,6,16,8.3932,0,false,false,3,2,2,2,0,0,0,6,3,6,33,36,24,0.0221,0.0201
enterprise/billing,5,116,1,5,14,8.2672,0,false,false,2,1,1,1,1,0,0,5,2,5,31,33,24,0.0203,0.0201
enterprise/cloud-add-ons,7,117,1,5,14,8.1966,0,false,false,1,1,1,1,0,0,0,7,1,5,31,32,24,0.0197,0.0201
enterprise/cloud-proxy,4,117,1,5,14,8.3162,0,false,false,1,1,1,1,0,0,0,4,1,5,31,32,24,0.0197,0.0201
enterprise/embedding-hub,7,116,1,5,15,8.6293,0,false,false,1,1,1,1,0,0,0,7,1,5,31,32,24,0.0197,0.0201
enterprise/upload-management,5,116,1,5,14,8.25,0,false,false,1,1,1,1,0,0,0,5,1,5,31,32,24,0.0197,0.0201
actions.rest,10,116,1,4,15,6.4138,0,false,false,1,1,1,1,1,0,0,10,1,4,30,31,24,0.0191,0.0201
bug-reporting,9,116,2,4,11,5.9483,0,false,false,3,2,2,2,0,0,0,9,3,4,30,33,24,0.0203,0.0201
data-studio,9,116,1,4,16,9.4655,0,false,false,2,1,1,1,0,0,0,9,2,4,30,32,24,0.0197,0.0201
frontend-errors,3,116,1,4,13,7.8276,0,false,false,1,1,1,1,0,0,0,3,1,4,30,31,24,0.0191,0.0201
logger.api,5,116,1,4,15,6.8276,0,false,false,1,1,1,1,1,0,0,5,1,4,30,31,24,0.0191,0.0201
settings.rest,4,116,1,4,17,9.6983,0,false,false,1,1,1,1,1,0,0,4,1,4,30,31,24,0.0191,0.0201
setup.rest,10,116,1,4,14,5.7931,0,false,false,1,1,1,1,1,0,0,10,1,4,30,31,24,0.0191,0.0201
testing-api,9,116,2,4,15,6.7328,0,false,false,4,3,3,3,0,0,0,9,4,4,30,34,24,0.0209,0.0201
user-key-value,5,116,2,4,16,10.0345,0,false,false,4,2,2,2,0,0,0,5,4,4,30,34,24,0.0209,0.0201
users.rest,17,116,1,4,9,4.5086,0,false,false,1,1,1,1,1,0,0,17,1,4,30,31,24,0.0191,0.0201
warehouses.rest,27,117,1,4,11,5.0769,0,false,false,1,1,1,1,1,0,0,27,1,4,30,31,24,0.0191,0.0201
api-routes,62,185,2,4,10,2.6432,0,false,false,4,2,2,2,1,0,0,:any,4,4,30,30,23,0.0184,0.0192
cloud-migration,10,185,2,4,9,4.2595,0,false,false,5,3,3,3,0,0,0,10,5,4,30,30,23,0.0184,0.0192
cmd,11,185,2,4,8,3.4162,0,false,false,15,3,3,3,2,0,0,11,15,4,30,30,23,0.0184,0.0192
enterprise/api-routes,35,148,1,4,16,7.5541,0,false,false,1,1,1,1,1,0,0,:any,1,4,30,31,23,0.0191,0.0192
enterprise/cache,6,116,1,2,18,10.1983,0,false,false,4,1,1,1,0,0,0,6,4,2,8,12,9,0.0074,0.0075
enterprise/core,16,131,1,1,16,6.626,0,false,false,2,1,1,1,0,0,0,:any,2,1,6,8,5,0.0049,0.0042
core,87,187,0,0,6,1.9358,0,false,true,6,0,0,0,0,0,0,:any,6,0,0,6,5,0.0037,0.0042
transforms-inspector,0,0,0,0,0,0.0,0,true,true,5,0,0,0,0,0,0,0,5,0,0,5,5,0.0031,0.0042
enterprise/snippet-collections,6,116,0,0,13,7.3707,0,false,true,2,0,0,0,0,0,0,6,2,0,0,2,2,0.0012,0.0017
enterprise/analytics,6,118,0,0,16,7.8983,0,false,true,1,0,0,0,0,0,0,6,1,0,0,1,1,6.0E-4,8.0E-4
enterprise/auth-identity,1,116,0,0,14,8.5517,0,false,true,1,0,0,0,0,0,0,1,1,0,0,1,1,6.0E-4,8.0E-4
enterprise/auth-provider,2,116,0,0,14,8.5431,0,false,true,1,0,0,0,0,0,0,2,1,0,0,1,1,6.0E-4,8.0E-4
enterprise/dashboard-subscription-filters,1,116,0,0,14,8.5517,0,false,true,1,0,0,0,0,0,0,1,1,0,0,1,1,6.0E-4,8.0E-4
enterprise/internal-stats,2,116,0,0,14,8.5431,0,false,true,1,0,0,0,0,0,0,2,1,0,0,1,1,6.0E-4,8.0E-4
enterprise/premium-features,2,116,0,0,14,8.5431,0,false,true,1,0,0,0,0,0,0,2,1,0,0,1,1,6.0E-4,8.0E-4
enterprise/search,2,116,0,0,14,8.4483,0,false,true,1,0,0,0,0,0,0,2,1,0,0,1,1,6.0E-4,8.0E-4
ai,0,0,0,0,0,0.0,0,true,true,1,0,0,0,0,0,0,0,1,0,0,1,0,6.0E-4,0.0
workspaces,1,116,0,0,16,10.2759,0,false,true,1,0,0,0,0,0,0,1,1,0,0,1,0,6.0E-4,0.0
enterprise/writable-connection,1,116,0,0,14,8.5517,0,false,true,1,0,0,0,0,0,0,1,1,0,0,1,0,6.0E-4,0.0
